keyword,lang,cid,main_img,post_sj,sumry,com_ctgry_sn,lang_code_id,traffic_adres,traffic_new_adres
체험관광,ko,KOPuuvdzi,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81264&fileTy=MEDIA&fileNo=1&thumbTy=M,아르테파인 용산(모터사이클 렌탈샵) / Artefine Yongsan(Motorcycle Rental shop),한국의 도심을 자유 라이딩으로 볼 수 있는 액티비티 관광,Cl8f8q1,ko,서울 용산구 원효로3가 51-31,서울 용산구 청파로 75 1층 136호
체험관광,ko,KOPuz5pe1,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81012&fileTy=MEDIA&fileNo=1&thumbTy=M,한강유람선 이랜드크루즈,한강 위에서 서울의 야경과 낭만을 즐길 수 있는 특별한 유람선 체험,Cl8f8q1,ko,서울 영등포구 여의도동 85-1,여의도 선착장 : 서울 영등포구 여의동로 280 여의도 이랜드크루즈 매표소 / 잠실 선착장 : 서울 송파구 백제고분로 2 잠실 이랜드크루즈 매표소
체험관광,ko,KOP7q4h12,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80851&fileTy=MEDIA&fileNo=1&thumbTy=M,노원기차마을,  스위스와 이탈리아를 단독테마로 하며 10분간격으로 낮과 밤이 바뀌는 서울 내 최대 규모 미니어처 전시장,Cl8f8q1,ko,서울 노원구 공릉동 29-53,서울 노원구 화랑로 622 (공릉동)
체험관광,ko,KOP98vqxc,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80826&fileTy=MEDIA&fileNo=1&thumbTy=M,Color Signal (컬러시그널),"서울 강남에서 즐기는 K-뷰티 체험! 퍼스널 컬러 진단을 통해 찾는 나에게 가장 잘 어울리는 컬러와 메이크업, 헤어, 패션 스타일",Cl8f8q1,ko,서울 강남구 신사동 523-10,서울 강남구 강남대로162길 27-16 신아빌딩 4층 컬러시그널 (신사동)
체험관광,ko,KOPh6ancr,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80652&fileTy=MEDIA&fileNo=1&thumbTy=M,한국패션심리연구원 (Korea Fashion Psychology Institute),럭셔리 브랜드·명품 하우스가 신뢰한 청담동 퍼스널컬러 살롱,Cl8f8q1,ko,서울 강남구 청담동 84-1,"서울시 강남구 선릉로 840, 로데오빌딩 3층"
체험관광,ko,KOPaijkqu,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80379&fileTy=MEDIA&fileNo=1&thumbTy=M,명동 퍼스널컬러& 메이크업 컬러홀릭,"한국의 퍼스널 컬러 진단, 체형분석, K뷰티 메이크업을 직접 체험할 수 있는 전문 컨설팅 공간",Cf1y9k1,ko,서울 중구 충무로2가 60-4,"서울 중구 삼일대로 301, 2층"
체험관광,ko,KOPhd6ywx,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80368&fileTy=MEDIA&fileNo=1&thumbTy=M,아델라인 주얼리 스튜디오 (Adellain Jewelry Studio),전통과 현대가 어우러진 서울 종로에서 세상에 하나뿐인 실버 주얼리를 만들어 볼 수 있는 체험형 전통 한국 공예 기반 워크숍,Cf1y9k1,ko,서울 종로구 종로3가 13-1,서울 종로구 종로 121-1 5층 아델라인 주얼리 스튜디오
체험관광,ko,KOPsbsko1,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80365&fileTy=MEDIA&fileNo=1&thumbTy=M,A:muu Hair (명동 에이뮤 헤어),명동에 위치한 프리미엄 헤어살롱으로 28년 이상 경력의 대표원장이 운영하는 헤어 전문 살롱,Cf1y9k1,ko,서울 중구 충무로1가 25-8,서울시 중구 명동 8나길 47 3층
체험관광,en,ENPw0625e,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81714&fileTy=MEDIA&fileNo=1&thumbTy=M,Potterim,"A ceramics studio where you can feel the joy and ease of shaping clay in the middle of the city
",Cq3m6s6,en,"Potterim Pottery Workshop, 4th Floor, 25 Hangang-daero 40-gil, Yongsan-gu, Seoul","Potterim Pottery Workshop, 4th Floor, 25 Hangang-daero 40-gil, Yongsan-gu, Seoul"
체험관광,en,ENPsdmz8m,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81557&fileTy=MEDIA&fileNo=1&thumbTy=M,Hangang Leisure Sports,"A water leisure experience space encountered on the Han River in the city center.
",Cl8f8q1,en,"290 Yeouidong-ro, Yeongdeungpo-gu, Seoul","290 Yeouidong-ro, Yeongdeungpo-gu, Seoul"
체험관광,en,ENPuuvdzi,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81264&fileTy=MEDIA&fileNo=1&thumbTy=M,Artefine Yongsan (Motorcycle Rental Shop),An activity tourism experience where you can freely ride through the heart of Seoul!,Cl8f8q1,en,"Room 136, 1st Floor, 75 Cheongpa-ro, Yongsan-gu, Seoul","Room 136, 1st Floor, 75 Cheongpa-ro, Yongsan-gu, Seoul"
체험관광,en,ENPuz5pe1,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81012&fileTy=MEDIA&fileNo=1&thumbTy=M,Han River Cruise E-Land Cruise,A special cruise experience to enjoy the night view and romance of Seoul on the Han River.,Cl8f8q1,en,"Yeouido Dock: Yeouido E-Land Cruise Ticket Booth, 280 Yeouidong-ro, Yeongdeungpo-gu, Seoul Jamsil Dock: Jamsil E-Land Cruise Ticket Booth, 2 Baekjegobun-ro, Songpa-gu, Seoul","Yeouido Dock: Yeouido E-Land Cruise Ticket Booth, 280 Yeouidong-ro, Yeongdeungpo-gu, Seoul Jamsil Dock: Jamsil E-Land Cruise Ticket Booth, 2 Baekjegobun-ro, Songpa-gu, Seoul"
체험관광,en,ENP98vqxc,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80826&fileTy=MEDIA&fileNo=1&thumbTy=M,Color Signal,"K-Beauty experience enjoyed in Gangnam, Seoul! Finding the colors, makeup, hair, and fashion styles that suit me best through personal color diagnosis.
",Cl8f8q1,en,"Color Signal, 4th Floor, Shin-A Building, 27-16 Gangnam-daero 162-gil, Gangnam-gu, Seoul","Color Signal, 4th Floor, Shin-A Building, 27-16 Gangnam-daero 162-gil, Gangnam-gu, Seoul"
체험관광,en,ENP7q4h12,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80851&fileTy=MEDIA&fileNo=1&thumbTy=M,Nowon Train Village,"The largest miniature exhibition hall in Seoul with an exclusive theme of Switzerland and Italy, where day and night alternate every 10 minutes.
",Cl8f8q1,en,"622 Hwarang-ro, Nowon-gu, Seoul","622 Hwarang-ro, Nowon-gu, Seoul"
